ds,yhat,yhat_lower,yhat_upper,y
2015-01-02,149.4254406687412,119.28368354922969,176.01470395069254,161.0500030517578
2015-01-05,149.44007000674296,120.71611895386752,177.10415376415637,168.10000610351562
2015-01-06,149.39977732714186,118.29305022277916,177.89075071663387,174.89999389648438
2015-01-07,149.24412417851582,120.23292459831167,178.8424354140901,175.0500030517578
2015-01-08,149.19607409210167,120.40387635081464,178.02737677300388,176.89999389648438
2015-01-09,148.69993917529075,119.71851766492364,177.61546097750417,180.0500030517578
2015-01-12,148.4748323702498,118.7785109746779,177.0713388669547,176.75
2015-01-13,148.35737388641846,118.89927599912262,176.7261278192349,176.9499969482422
2015-01-14,148.1333697684862,120.00377554586818,174.38889684749995,179.85000610351562
2015-01-15,148.02986151973727,120.6485911291887,175.54061153886596,176.64999389648438
2015-01-16,147.49479011873635,114.68060796336991,176.65309300824913,171.0
2015-01-20,147.21222865120654,117.8786285016665,173.66223430769776,164.3000030517578
2015-01-21,147.0630915487421,117.62141268313638,176.51820141516413,161.25
2015-01-22,147.0577942851477,114.92690041303352,174.0904370319916,159.9499969482422
2015-01-23,146.64244646400687,115.32777755836585,175.42840583910598,162.4499969482422
2015-01-26,146.88453578553032,117.35748952914606,176.90151957170374,161.85000610351562
2015-01-27,146.98940417193475,118.11055902291153,174.8697901349836,168.1999969482422
2015-01-28,147.0133807622183,116.50968419354331,173.67611994259835,167.6999969482422
2015-01-29,147.17704443766115,118.24844534581253,176.34619064653523,160.0
2015-01-30,146.92083235999473,117.63519768691279,175.27275339243252,161.89999389648438
2015-02-02,147.52552402948018,116.38055661175257,177.03150046096286,162.4499969482422
2015-02-03,147.69580106602675,119.08260773914596,178.5608957153518,160.75
2015-02-04,147.7501213104983,118.99668105968648,174.88446787090027,164.89999389648438
2015-02-05,147.90571639818143,120.60633417288793,174.4261256760063,164.75
2015-02-06,147.60054861698035,119.3239793883457,175.03620120754067,166.85000610351562
2015-02-09,147.80319286682055,119.70490330846133,177.46565993459927,167.60000610351562
2015-02-10,147.75643763015879,118.0659435230303,175.7987160471391,159.39999389648438
2015-02-11,147.55595869134166,119.71135164981511,174.67559018296967,159.4499969482422
2015-02-12,147.42281733015147,118.34825474291023,176.7113757033825,164.5500030517578
2015-02-13,146.79977807059564,118.45592157366018,177.09089834713288,163.1999969482422
2015-02-17,145.51690018827605,117.2229381663518,175.82959662814878,155.64999389648438
2015-02-18,144.95097582397742,116.2544882781673,172.08483568482202,152.8000030517578
2015-02-19,144.4656118007678,114.54354652417834,173.7382583823034,149.1999969482422
2015-02-20,143.51137765298648,113.64021655830547,173.59799002201743,148.64999389648438
2015-02-23,141.85145597087697,112.61843066006224,170.88752161568854,144.4499969482422
2015-02-24,141.25671557749584,114.03095331730978,170.96865808946797,145.35000610351562
2015-02-25,140.56602557786414,111.86906313450508,171.11391296493048,139.75
2015-02-26,140.0120070286951,108.84488802821777,169.96961087692213,136.5500030517578
2015-02-27,139.04775143838532,109.8248574375546,165.76186647456512,136.75
2015-03-02,137.7163971677677,108.57687849261683,167.066505761187,135.10000610351562
2015-03-03,137.34675135560937,109.53789365800483,164.95447732042402,126.25
2015-03-04,136.93391303197842,109.39490367710634,164.2786048638696,134.0500030517578
2015-03-05,136.70579235759047,107.20545527143074,166.50123604094986,131.5500030517578
2015-03-06,136.10978102991166,107.0616163166357,164.77721973129493,136.5
2015-03-09,136.06833791288696,106.42009270389352,164.79666871476016,133.64999389648438
2015-03-10,136.16460182637297,108.03685957874168,166.02893221771572,131.6999969482422
2015-03-11,136.22197250513713,106.93308765230377,163.47369534100025,128.39999389648438
2015-03-12,136.46009046988735,106.66543226745128,166.02856278874475,128.85000610351562
2015-03-13,136.31829968186105,107.20792527599815,165.72778580427325,126.44999694824219
2015-03-16,137.49401549891553,110.62300088769616,167.86075833558743,134.89999389648438
2015-03-17,137.92651347411274,108.32357770212455,166.75000612103463,133.9499969482422
2015-03-18,138.27709236352499,112.74135641967281,165.09894763964562,136.25
2015-03-19,138.76196395815896,113.8399507314274,168.3176324105115,140.0
2015-03-20,138.81816452060755,110.01080429199655,167.31063802299346,143.35000610351562
2015-03-23,140.2894064471236,109.81075721718412,169.25261430664153,141.85000610351562
2015-03-24,140.7245606558532,112.63657226114438,169.0359975185672,137.3000030517578
2015-03-25,141.03427375401316,109.65350328044377,168.85710835373953,139.9499969482422
2015-03-26,141.43875798666463,112.52364403112561,170.27390783769022,140.25
2015-03-27,141.3797831410306,113.26576472685892,171.14706468412047,138.1999969482422
2015-03-30,142.35193020323214,114.60458035805387,172.62974868753943,132.35000610351562
2015-03-31,142.58937219026205,114.3440596383392,172.54167655125923,132.89999389648438
2015-04-01,142.69575226042213,113.84416414571965,169.57554801599642,134.85000610351562
2015-04-02,142.8970405894936,113.07864288573057,172.9377237878145,140.89999389648438
2015-04-06,143.09702898388207,114.54274581309768,172.09434225435822,146.1999969482422
2015-04-07,143.19971069510905,114.94417342657508,172.48952477154754,141.9499969482422
2015-04-08,143.19333873755164,116.04441112466907,172.56423888292875,135.6999969482422
2015-04-09,143.30460953384002,114.16333585507536,172.74449850140803,137.4499969482422
2015-04-10,142.98046025716218,113.42349735308754,172.21457876085148,135.10000610351562
2015-04-13,143.35525560812138,114.30060564510762,171.98251272294848,133.75
2015-04-14,143.46212783419435,113.04752759619531,172.28422956950803,134.60000610351562
2015-04-15,143.46980225738795,113.11520401926161,173.2922947470831,135.8000030517578
2015-04-16,143.6007867888003,113.26035522491512,171.4939996141236,139.60000610351562
2015-04-17,143.297591926725,114.06698073959505,172.51320158200846,138.6999969482422
2015-04-20,143.69808650305,115.23858957182793,172.4685216889852,138.6999969482422
2015-04-21,143.78722581868954,113.73517858007769,171.12602506197229,140.3000030517578
2015-04-22,143.7580475660438,115.2597419525736,172.71090272938721,142.39999389648438
2015-04-23,143.83033998022162,113.68778798102703,172.92252543627757,140.4499969482422
2015-04-24,143.4446184630489,115.29377063095241,170.54459658425122,141.14999389648438
2015-04-27,143.4469365609791,115.42534521412495,173.31146508812475,136.10000610351562
2015-04-28,143.35500763105958,113.9647493815185,171.47389532546478,138.14999389648438
2015-04-29,143.12372039079733,113.25443129550699,171.43529907677984,138.35000610351562
2015-04-30,142.97599430575767,112.5323721329133,170.0875066998459,136.5500030517578
2015-05-01,142.35621754151302,113.88059251244921,172.53526448912652,133.4499969482422
2015-05-04,141.6197964028389,113.23808088530856,170.9145926759052,131.85000610351562
2015-05-05,141.28737878361818,110.14683023789132,169.98455641585093,132.5500030517578
2015-05-06,140.8279716732173,110.83185470432275,169.03874175944267,128.0500030517578
2015-05-07,140.470163165782,110.8834899394493,169.49080342907132,130.85000610351562
2015-05-08,139.66376463248122,108.64923836191794,168.49950706394182,132.89999389648438
2015-05-11,138.55551247932007,110.70872829006447,166.49904993460896,133.35000610351562
2015-05-12,138.174275770343,108.56620764562487,168.24929360326064,134.5
2015-05-13,137.7077608276395,109.30936959840591,165.89923113310905,134.39999389648438
2015-05-14,137.3856072049866,109.95737541963291,167.38344494956976,135.64999389648438
2015-05-15,136.65763456446726,108.25721164800512,165.73729955684482,137.1999969482422
2015-05-18,136.0254200209694,107.50117340268658,165.44295795446553,141.64999389648438
2015-05-19,135.87266864823383,108.44170194381473,166.61932627376885,139.85000610351562
2015-05-20,135.66194747443032,107.00595638693078,164.5044097398289,136.0
2015-05-21,135.6171137506708,107.29322369343654,163.88320682606775,128.4499969482422
2015-05-22,135.18156306210008,107.17903945030079,163.32367362098054,126.94999694824219
2015-05-26,135.57512191854644,107.18272555365147,162.95773541846165,124.05000305175781
2015-05-27,135.6246930813787,107.48391598537569,163.6182232967809,124.5
2015-05-28,135.81240194054686,106.43984452315556,165.9417850606719,125.1500015258789
2015-05-29,135.5754333095987,106.72493353522134,164.03911124431468,126.1500015258789
2015-06-01,136.18191829697707,109.61070771692096,165.44118657154286,129.8000030517578
2015-06-02,136.3273914965046,108.04407070464798,164.84625249340846,132.6999969482422
2015-06-03,136.34214635164648,107.92978344659582,165.5411754201759,134.3000030517578
2015-06-04,136.44302674984772,106.37916343636616,165.33497876646868,135.6999969482422
2015-06-05,136.06817975924164,104.52133837115534,165.6357009161332,135.10000610351562
2015-06-08,135.98193976249237,107.3848461427451,163.1609481461913,136.5500030517578
2015-06-09,135.81797382475455,107.05730561340695,164.21444174692363,137.35000610351562
2015-06-10,135.4936492210018,105.98427556809003,161.91738853746983,136.4499969482422
2015-06-11,135.23274178657013,106.97409705595295,164.44727182409662,132.0
2015-06-12,134.48088713396328,104.16207435274848,160.74636083297375,132.0500030517578
2015-06-15,133.25186004915608,107.1620604587126,161.13607155518744,127.80000305175781
2015-06-16,132.7298324563091,103.84633622073031,162.04370224247802,129.35000610351562
